"PERMITNO"|"FCLTUIN"|"FCLNAME"|"FCLTYAD"|"FCLTCIT"|"FCLTCTC"|"FCLSTCD"|"FCLZIPC"|"FCLGLAT"|"FCLGLON"|"IMPCAT"
"TX0079146"|"110000505560"|"HARRIS COUNTY MUD 170"|"600' W JONES RD 3000' S FM 1960"|"HOUSTON"|"1380948"|"TX"|"77065"|29.9175|-95.585833|"4"
"TX0079154"|"110039174069"|"UNKNOWN"|"UNKNOWN"|""|"1383800"|"TX"|""|29.537778|-96.052778|""
"TX0079171"|"110039174096"|"UNKNOWN"|"UNKNOWN"|""|"1377745"|"TX"|""|29.334444|-94.763889|""
"TX0079201"|"110009777303"|"KATY ISD MAYDE CREEK WWTP"|"2M W/NW BARKER-CYRESS RD AND IH HWY 10"|"KATY"|"1338960"|"TX"|"77084"|29.8|-95.699722|""
"TX0079227"|"110039174121"|"UNKNOWN"|"UNKNOWN"|""|"1350536"|"TX"|""|32.665278|-94.343333|""
"TX0079235"|"110035772615"|"WILD PEACH ELEMENTARY WWTP"|"1MI S OF S THWY 36 AT PT 4.5MI SE OF W COLUMBIA"|"WEST COLUMBIA"|"1371096"|"TX"|"77486"|29.073056|-95.623611|""
"TX0079251"|"110010922546"|"CYPRESS BAYOU WWTP"|"N. ORANGE,1200F E. & 1600F N."|"ORANGE"|"1383966"|"TX"|""|30.153333|-93.748889|""
"TX0079260"|"110009746766"|"BEECHWOOD WWTF"|"7132 GREEN TREE DR, 0.5MI W ST HWY 288"|"ANGLETON"|"1351127"|"TX"|"77515"|29.218056|-95.443056|""
"TX0079286"|"110009777321"|"FORDYCE LTD - BRIGGS PLANT"|"1.9 MILES W OF ST HWY 185 1500 FT N OF VICTORIA BA"|"VICTORICA"|"1384020"|"TX"|"77902"|28.703889|-96.974722|""
"TX0079308"|"110039168272"|"UNKNOWN"|"UNKNOWN"|""|"1383886"|"TX"|""|30.003611|-95.509444|""
"TX0079324"|"110039199337"|"DALHO CORP_(UPS DISTRIBUTION"|"CENTER)"|"HOUSTON"|"1383886"|"TX"|""|29.883333|-95.406389|""
"TX0079341"|"110039168272"|"UNKNOWN"|"UNKNOWN"|""|"1383886"|"TX"|""|29.963889|-95.368056|""
"TX0079359"|"110009777330"|"WEST HARRIS CO MUD WWTP"|"4127 WESTHEIMER PLACE"|"HOUSTON"|"1380948"|"TX"|"77002"|29.712778|-95.666111|"4"
"TX0079375"|"110039168272"|"BEST WESTERN INT AIRPORT"|"2600 FT W OF INTX US HWY 59 AND JETERO BLVD"|"HUMBLE"|"1380948"|"TX"|""|29.981389|-95.283056|""
"TX0079383"|"110009746775"|"INDUSTRIAL UTILITIES WWTP"|"3/4MI SE CARPENTER'S BAYOU XNG IH 10"|"HOUSTON"|"1347681"|"TX"|""|29.765278|-95.139167|""
"TX0079391"|"110009777349"|"CITY OF KAUFMAN WWTP"|"US HWY 175 & ST. HWY 34"|"KAUFMAN"|"1338964"|"TX"|"75142"|32.576389|-96.3|""
"TX0079481"|"110039183237"|"UNKNOWN"|"UNKNOWN"|""|"1383972"|"TX"|""|30.800833|-95.112778|""
"TX0079502"|"110039168272"|"UNKNOWN"|"UNKNOWN"|""|"1383886"|"TX"|""|29.995833|-95.423611|""
"TX0079529"|"110002044154"|"HARRIS COUNTY MUD 180"|"5042 INNSBRUK"|"HOUSTON"|"1380948"|"TX"|"77007"|29.955556|-95.496667|""
"TX0079537"|"110009777054"|"WILLIAM H PORTER  WWTP"|"5735 BRYANT POND R, 3/4 MI S FM 529"|"HOUSTON"|"1380948"|"TX"|"770026760"|29.855|-95.615|""
"TX0079545"|"110039183326"|"UNKNOWN"|"UNKNOWN"|""|"1379652"|"TX"|""|33.773889|-96.576111|""
"TX0079561"|"110005075756"|"RAVAGO MANUFACTURING AMERICAS"|"13001 ALMEDA RD, 0.5M N. ST HWY 521"|"HOUSTON"|"1380948"|"TX"|"77045"|29.620556|-95.412222|"4"
"TX0079570"|"110039199024"|"ROADWAY INN INT AIRPORT WWTP"|"2000' SW INTX WILL CLAYTON PKWY AND US HWY 59"|"HOUSTON"|"1380948"|"TX"|"77396"|29.97|-95.279444|""
"TX0079618"|"110010922458"|"WEST HARRIS CO MUD 7"|"1.9M N IH-10, 5500F NW FRY RD AND FRANZ RD"|"HARRIS COUNTY"|"1380948"|"TX"|"77084"|29.811944|-95.735833|"4"
"TX0079634"|"110006687013"|"WHITE OAK OWNERS ASSOCIATION W"|"1880 WHITE OAK DRIVE"|"HOUSTON"|"1380948"|"TX"|"77024"|29.780833|-95.376667|"4"
"TX0079642"|"110039183415"|"UNKNOWN"|"UNKNOWN"|""|"1383821"|"TX"|""|29.883889|-94.793611|""
"TX0079651"|"110009777072"|"SABINE RIVER AUTHORITY OF TEX"|"SW INTX ST HWY 62 AND S. PAC RR"|"ORANGE"|"1375304"|"TX"|"77632"|30.092222|-93.821944|""
"TX0079693"|"110039183442"|"LOCHINVAR GOLF CLUB"|"2100F E SE HARDY RD FARRELL RD"|"HOUSTON"|"1380948"|"TX"|"77073"|30.001111|-95.365278|""
"TX0079707"|"110009777081"|"LANGHAM CREEK WWTP"|"5300 ADDICKS-SATSUMA ROAD"|"HOUSTON"|"1380948"|"TX"|"77002"|29.861944|-95.639722|""
"TX0079723"|"110039170214"|"INTERNATIONAL PAPER COMPANY"|"US HWY 82 & STATE HWY 8"|"NEW BOSTON"|"1363692"|"TX"|"75570"|33.463056|-94.384167|""
"TX0079731"|"110039170937"|"UNKNOWN"|"UNKNOWN"|""|"1336802"|"TX"|""|32.784444|-97.018611|""
"TX0079766"|"110039171017"|"UNKNOWN"|"UNKNOWN"|""|"1365595"|"TX"|""|28.620278|-96.625556|""
"TX0079774"|"110002346505"|"KANSAS CITY SOUTHERN RAILWAY P"|"548 WEST 5TH STREET"|"PORT ARTHUR"|"1384151"|"TX"|"77640"|29.856972|-93.946417|""
"TX0079782"|"110010922476"|"CITY OF WINFIELD WWTP"|"400' N OF IH 30 ACCESS RD AND 15"|"WINFIELD"|"1350413"|"TX"|"75493"|33.158333|-95.099722|""
"TX0079804"|"110009777090"|"CITY OF EDEN WWTP"|"2/3MI E OF US HWY 83, 2/3MI S OF US HWY 87"|"EDEN"|"1356813"|"TX"|"76837"|31.203333|-99.835833|""
"TX0079812"|"110010922485"|"FIN AND FEATHER WWTP"|"500' N OF FM 2928 AND 1.2MI N"|"HEMPHILL"|"1381990"|"TX"|"75948"|31.279722|-93.739167|"4"
"TX0079821"|"110002044225"|"NW HARRIS CO MUD#'S 21-23-WWTP"|"1 MI SE INTX STUEBNER-AIRLINE"|"HOUSTON"|"1380948"|"TX"|"77014"|29.9725|-95.478889|""
"TX0081256"|"110030769782"|"FAIRBANKS PLAZA CTR WWTF"|"600' SW INTX FAIRBANKS-N HOUST"|"HOUSTON"|"1380948"|"TX"|"77027"|29.833056|-95.475|""
"TX0081264"|"110009746999"|"NW HARRIS CO MUD 19 - WWTP"|"25714 STEEPLE CANYON"|"HOUSTON"|"1380948"|"TX"|"77002"|30.124722|-95.5375|""
"TX0081272"|"110039171053"|"NW HARRIS COUNTY MUD 10 WWTP"|"24500 US HWY 290"|"HOUSTON"|"1380948"|"TX"|"77269"|29.963333|-95.674167|""
"TX0081299"|"110009777116"|"HOLIDAY MOTEL WWTF"|"180' W OF INTX MCGRUDER ST AND MICHAEL ST"|"CLEVELAND"|"1381199"|"TX"|"77327"|30.375278|-95.073611|""
"TX0081302"|"110039171099"|"UNKNOWN"|"UNKNOWN"|""|"1381199"|"TX"|""|29.954444|-95.411944|""
"TX0081337"|"110002044234"|"NW HARRIS COUNTY MUD 20 WWTP"|"6500' N & 8700' E INTX FM 1960 AND STUEBNER AIRLIN"|"HOUSTON"|"1380948"|"TX"|"77041"|30.017778|-95.490556|"4"
"TX0081345"|"110039171115"|"UNKNOWN"|"UNKNOWN"|""|"1344363"|"TX"|""|27.840278|-97.0575|""
"TX0081353"|"110039168272"|"UNKNOWN"|"UNKNOWN"|""|"1347681"|"TX"|""|30.071389|-95.511667|""
"TX0081388"|"110039171213"|"AERO GREENSMOR, L.P."|"SW OF GREENS RD AND MORALES RD"|"HOUSTON"|"1380948"|"TX"|"770325524"|29.95|-95.347222|""
"TX0081647"|"110039199275"|"APPLIED INDUSTRIAL MATERIALS"|".5 MILES W.OF NAVIGATION BLVD"|"CORPUS CHRISTI"|"1333380"|"TX"|""|27.818611|-97.460556|""
"TX0082201"|"110039171231"|"UNKNOWN"|"UNKNOWN"|""|"1380523"|"TX"|""|29.816389|-104.316667|""
"TX0082210"|"110014331543"|"LAJITAS WWTP"|"2000' S RMR 170 & 1800' E. RIO GRANDE"|"LAJITAS"|"1383807"|"TX"|"78703"|29.253528|-103.7735|""
"TX0082261"|"110017769789"|"GEORGIA-PACIFIC CHEMICALS, LLC"|"1429 E. LUFKIN AVE."|"LUFKIN"|"1382208"|"TX"|"75901"|31.411111|-94.765|"4"
"TX0082295"|"110039171277"|"TE PRODUCTS PIPELINE CO., L.P."|"TEPPCO BEAUMONT MARINE TERM."|"VIDOR"|"1349270"|"TX"|"77662"|30.020833|-94.025556|""
"TX0082309"|"110009747015"|"RENO WWTF"|"1 1/3M SW FMR 195&NW 7TH ST"|"RENO"|"1383925"|"TX"|"75462"|33.696694|-95.479472|""
"TX0082317"|"110002051378"|"WINCHESTER COUNTRY REGIONAL WWTP"|"9606 RIO GRANDE DR"|"HOUSTON"|"1380948"|"TX"|"77064"|29.954444|-95.571111|"4"
"TX0082392"|"110039168272"|"UNKNOWN"|"UNKNOWN"|""|"1383886"|"TX"|""|29.83|-95.141389|""
"TX0082457"|"110006687022"|"CAMP LONE STAR WWTP"|"1.8M NE INTX FM 155 & USHWY 77"|"LA GRANGE"|"1360798"|"TX"|"78945"|29.888889|-96.840556|""
"TX0082473"|"110039168272"|"UNKNOWN"|"UNKNOWN"|""|"1383886"|"TX"|""|29.649722|-95.088889|""
"TX0082481"|"110039169226"|"UNKNOWN"|"UNKNOWN"|""|"1383805"|"TX"|""|28.941667|-95.308056|""
"TX0082503"|"110006801078"|"TRAVIS VISTA WWTP"|"4811 PARK LANE"|"AUSTIN"|"1384879"|"TX"|"78732"|30.391944|-97.899167|""
"TX0082511"|"110010922500"|"SPLENDORA ELEMENTARY WWTP"|"0.4MI NE INT ST HWY SPUR 512 AND FM 2090"|"SPLENDORA"|"1347662"|"TX"|"77372"|30.236667|-95.155|""
"TX0082520"|"110039168272"|"UNKNOWN"|"UNKNOWN"|""|"1383886"|"TX"|""|29.903889|-95.523333|""
"TX0082538"|"110039171838"|"UNKNOWN"|"UNKNOWN"|""|"1383864"|"TX"|""|29.473889|-95.486667|""
"TX0082571"|"110039168272"|"UNKNOWN"|"UNKNOWN"|""|"1383886"|"TX"|""|29.938056|-95.341389|""
"TX0082589"|"110009747024"|"CITY OF JOURDANTON WWTP"|"0.5MI SW OF INTX STHWY 16 & ST"|"JOURDANTON"|"1360436"|"TX"|"78026"|28.914472|-98.883083|""
"TX0082597"|"110033175418"|"MCDONALD'S NO. 5438 - WWTP"|"16001 HEMPSTEAD HWY"|"HOUSTON"|"1380948"|"TX"|"77041"|29.876389|-95.555|""
"TX0082601"|"110039171892"|"UNKNOWN"|"UNKNOWN"|""|"1345187"|"TX"|""|""|""|""
"TX0082643"|"110039168272"|"UNKNOWN"|"UNKNOWN"|""|"1383886"|"TX"|""|29.729394|-95.000206|""
"TX0082651"|"110000608245"|"LIMESTONE ELECTRIC GEN. STA."|"ADJ TO & W OF FM 39, 2.5MI SE"|"LIMESTONE COUNTY"|"1383932"|"TX"|"75846"|31.378889|-96.276389|""
"TX0082775"|"110039170660"|"UNKNOWN"|"UNKNOWN"|""|"1384005"|"TX"|""|32.560556|-97.208889|""
"TX0082783"|"110039170697"|"UNKNOWN"|"UNKNOWN"|""|"1384005"|"TX"|""|""|""|""
"TX0082791"|"110008153167"|"BELLVILLE OPERATIONS DIVISION"|"3.0MI SE INTX ST HWY 36 & FM 24"|"BELLVILLE"|"1372492"|"TX"|"77418"|29.893889|-96.203333|""
"TX0082805"|"110039170731"|"UNKNOWN"|"UNKNOWN"|""|"1333380"|"TX"|""|27.812222|-97.579167|""
"TX0082830"|"110009746720"|"WESTERN PINES MHP WWTF"|"1000F N MORTON RD AND 2000F W. OF FRY RD"|"HOUSTON"|"1380948"|"TX"|"77079"|29.791667|-95.720556|"4"
"TX0082856"|"110009777152"|"PURTIS CREEK STATE PARK WWTF"|"0.4 MI W INTX FM 316 AND GOSHEN RD"|"EUSTACE"|"1383892"|"TX"|"75124"|32.355556|-95.995|""
"TX0082988"|"110006687031"|"HICKORY HOLLOW INN WWTF"|"400F N 0F 8038 FALLBROOK DR"|"HOUSTON"|"1380948"|"TX"|"77064"|29.924722|-95.525278|""
"TX0082996"|"110039170875"|"UNKNOWN"|"UNKNOWN"|""|"1347589"|"TX"|""|32.956944|-97.133333|""
"TX0083003"|"110011696263"|"YANTIS WATER DEPARTMENT  WWTP"|"1 MI. S. OF FM. RD. 17 AND ST HWY 154"|"YANTIS"|"1350640"|"TX"|"75497"|32.850278|-95.577222|""
"TX0083011"|"110020846539"|"FRUITVALE WWTP"|"2500' S-SE INTX STHWY 80 AND FM 1910"|"FRUITVALE"|"1336284"|"TX"|"75127"|32.680278|-95.810556|""
"TX0083062"|"110009776858"|"ROLOFF WWTF"|"300 SUNSET AT INTX SUNSET RD"|"GREGORY"|"1337010"|"TX"|"78359"|27.916667|-97.293333|""
"TX0083089"|"110006686988"|"CITY OF BURTON WWTF"|"500 FT N US HWY 290 BRIDGE"|"BURTON"|"1331727"|"TX"|"77835"|30.178611|-96.595|""
"TX0083097"|"110039168272"|"UNKNOWN"|"UNKNOWN"|""|"1383886"|"TX"|""|29.758333|-95.416389|""
"TX0083101"|"110008138078"|"TEXAS MUNICIPAL POWER AGENCY"|"0.5MI W INTX STHWY 30 & FM 244"|"BRYAN"|"1383878"|"TX"|"77805"|30.636944|-95.954167|""
"TX0083119"|"110039168272"|"UNKNOWN"|"UNKNOWN"|""|"1383886"|"TX"|""|29.935556|-95.4175|""
"TX0083127"|"110010922421"|"CHEROKEE SHORES WWTP"|"0.3 M S. STHWY 198 AND 1.5M W. ST HWY 198 AND FM 3"|"DALLAS"|"1383892"|"TX"|"75201"|32.293056|-96.111667|""
"TX0083135"|"110039170982"|"UNKNOWN"|"UNKNOWN"|""|"1384031"|"TX"|""|30.4975|-97.823056|""
"TX0083178"|"110000599745"|"STRUCTURAL METALS STEEL PROD."|"1MI W INTX IH 10 & FM 464"|"SEGUIN"|"1346881"|"TX"|"78155"|29.573333|-98.035556|""
"TX0083208"|"110009776885"|"SAN JACINTO ELEMENTARY WWTP"|"2000' NW INTX FM 1314 AND BENNET ESTATES RD"|"CONROE"|"1333238"|"TX"|"77301"|30.170833|-95.317222|""
"TX0083216"|"110009776894"|"STEPHEN F AUSTIN ELEM WWTP"|"1250' W INTX SH 105 AND WAUKEGAN"|"CUT AND SHOOT"|"1333238"|"TX"|""|30.332806|-95.332528|"4"
"TX0083305"|"110039198301"|"HOUSTON MARINE SERVICES, INC."|"E SIDE OF STATE HWY 87"|"PORT ARTHUR"|"1384151"|"TX"|"77007"|29.848611|-93.9425|""
"TX0083381"|"110009776910"|"NORTH GREEN MUD WWTF"|"W. HARDY RD, .5 M S. HARDY RD AND RANKIN RD"|"HOUSTON"|"1380948"|"TX"|"77084"|29.954167|-95.386111|""
"TX0083399"|"110009776929"|"CITY OF LORENA WWTP"|"3500FT INTERX OF CENTER ST"|"LORENA"|"1361796"|"TX"|"76655"|31.372778|-97.217222|""
"TX0083429"|"110006686997"|"NORTHWEST PINES MHP WWTP"|"14022 WALTERS RD"|"HOUSTON"|"1383886"|"TX"|"77014"|29.984472|-95.47725|""
"TX0083437"|"110000459192"|"MIDLOTHIAN PLANT"|"PORTLAND CEMENT MFG. PLANT ADJ TO GIFCO RD"|"MIDLOTHIAN"|"1341552"|"TX"|"760650520"|32.521389|-97.010833|""
"TX0083445"|"110000464426"|"SAN MIGUEL LIGNITE MINE"|"ON FM 3387, 6MI E OF ST HWY 16 ATASCOSA"|"JOURDANTON"|"1360436"|"TX"|"780260000"|28.685|-98.474444|""
"TX0083496"|"110010131286"|"WEST HARRIS COUNTY MUD 15 WWTP"|"1.5MI SE INTX USHWY 290 AND TELGE RD"|"HOUSTON"|"1380948"|"TX"|"77002"|29.894167|-95.645556|""
"TX0083500"|"110009746962"|"HARRIS COUNTY MUD 127"|"19201 GUMMERT ROAD"|"HOUSTON"|"1330381"|"TX"|"77002"|29.850556|-95.708056|""
"TX0083526"|"110009776947"|"ALEXANDER DEUSSEN PARK WWTP"|"12303 SONNIER STREET"|"HOUSTON"|"1380948"|"TX"|"77044"|29.905861|-95.153361|""
"TX0083593"|"110039171026"|"CENTRAL ISD WWTP"|"USHWY 69;.4M NW USHWY 69 AND FMR 843"|"POLLOK"|"1382545"|"TX"|"75969"|31.429167|-94.813611|""
"TX0083615"|"110039171080"|"HURST CREEK MUD"|"2401 LAKEWAY DRIVE"|"AUSTIN"|"1384879"|"TX"|"78738"|30.341389|-97.999722|""
"TX0083712"|"110002068253"|"HARRIS COUNTY MUD 189 WWTP"|"1100 DUNSON GLEN"|"HOUSTON"|"1380948"|"TX"|"77010"|29.986389|-95.44|""
"TX0083747"|"110039171106"|"WELLMARK INTERNATIONAL"|"UNKNOWN"|""|"1380944"|"TX"|""|32.914444|-96.8925|""
"TX0083801"|"110009776974"|"KLEIN ISD WWTP"|"19020 DOERRE ROAD"|"HARRIS COUNTY"|"1383886"|"TX"|""|30.052778|-95.531944|""
"TX0083810"|"110035783658"|"CLASS II NON HAZ"|"HWY 73/3.5 MI W OF TAYLOR"|"PORT ARTHUR"|"1384151"|"TX"|"77643"|29.859722|-94.170556|""
"TX0083828"|"110035783658"|"PORT ARTHUR FACILITY"|"3.5 MILES SW WHERE ST HWY"|"PORT ARTHUR"|"1384151"|"TX"|"77643"|29.857778|-94.088333|""
"TX0083836"|"110033635118"|"AMC FACILITIES"|"E. HARDY RD, 1000' S. INTX HARDY AND RICHEY RD"|"HOUSTON"|"1380948"|"TX"|"77042"|29.988333|-95.382778|""
"TX0083844"|"110039168272"|"UNKNOWN"|"UNKNOWN"|""|"1383886"|"TX"|""|30.056667|-95.396667|""
"TX0083861"|"110039198445"|"MOTIVA ENTERPRISES, L.L.C."|"200 FT SW IH45 N/WEST MOUNT"|"HOUSTON"|"1380948"|"TX"|"77060"|29.9|-95.4125|""
"TX0083887"|"110010131295"|"ADELPHI COMM COOP WWTP"|"1MI E OF SH 34 & 5M S"|"QUINLAN"|"1344664"|"TX"|"75474"|32.838611|-96.145833|""
"TX0083909"|"110039198463"|"BROWNING-FERRIS INDUSTRIES INC"|"W PORT ARTHUR & BEAUXART RDS"|"NEDERLAND"|"1383908"|"TX"|""|29.95|-94.034167|""
"TX0083933"|"110010922430"|"BAYOU CLUB WWTF"|"8550 MEMORIAL DRIVE"|"SPRING"|"1380948"|"TX"|"77024"|29.780556|-95.45|""
"TX0083950"|"110009777009"|"BRITTMOORE WXNW - WWTP"|"6500 CLARA"|"HOUSTON"|"1347681"|"TX"|"77013"|29.876389|-95.553889|""
"TX0083976"|"110010842892"|"WILLOW OAKS - WWTP"|"1000' SE KUYKENDADL RD, 800' E"|"HOUSTON"|"1380948"|"TX"|""|30.101667|-95.544444|""
"TX0084018"|"110006687004"|"BRAZOS BEND STATE PARK WWTF"|"3 MI E OF FM 762 AND 1.3 M N O"|"NEEDVILLE"|"1383864"|"TX"|"77461"|29.370833|-95.6|""
"TX0084034"|"110007196676"|"ELLWOOD TEXAS FORGE NAVASOTA"|"ST HWY 508 FMR 379"|"NAVASOTA"|"1375099"|"TX"|"77868"|30.343917|-96.082806|""
"TX0084042"|"110009777018"|"PORTER MUD WWTP"|"7200F S/SE USHWY 59 AND FM 1314 AND 2100 E SE"|"PORTER"|"1383955"|"TX"|"77365"|30.073889|-95.227778|""
"TX0084051"|"110009777027"|"TWINS OAKS MHP WWTF"|"2000' NW INTX FM 1960/FM 2100"|"CONROE"|"1338230"|"TX"|"77305"|30.026389|-95.099722|""
"TX0084069"|"110039168263"|"UNKNOWN"|"UNKNOWN"|""|"1383886"|"TX"|""|30.362778|-95.463611|""
"TX0084085"|"110009777036"|"HARRIS COUNTY MUD 36 WWTP"|"2.2MI S AND 1.2MI E INTX FM 1960"|"HOUSTON"|"1380948"|"TX"|"77084"|29.991389|-95.4|""
"TX0084093"|"110002133833"|"VAM USA PLANT"|"0.5MI E INTX OF HARDY RD AND RICHEY RD"|"HOUSTON"|"1380948"|"TX"|"77073"|29.993889|-95.387222|""
"TX0084115"|"110000757752"|"VOPAK TERMINAL DEER PARK INC"|"2759 BATTLEGROUND RD (FMR134)"|"DEER PARK"|"1334219"|"TX"|"77536"|29.740833|-95.093889|"4"
"TX0084280"|"110039198481"|"FOUR K HOUSTON PROPERTY CO."|"3001 KATY-BROOKSHIRE ROAD"|"BROOKSHIRE"|"1384022"|"TX"|""|29.778611|-95.890278|""
"TX0084298"|"110000462133"|"SMITH INTERNATIONAL, INC."|"16740 HARDY STREET"|"HOUSTON"|"1380948"|"TX"|"77205"|29.956389|-95.388056|"4"
"TX0084310"|"110039198490"|"EXPLORER PIPELINE COMPANY"|"2.5 MILES W OF GRAPEVINE"|"SOUTHLAKE"|"1336834"|"TX"|"75135"|32.922222|-97.116389|""
"TX0084328"|"110010124356"|"EXPLORER PIPELINE GREENVILLE STATION"|"2856 CR 2168 APPROX. 1.3 M N"|"CADDO MILLS"|"1331827"|"TX"|"75135"|33.061111|-96.220833|""
"TX0084336"|"110039198105"|"EXPLORER PIPELINE, 2M S US"|"HWY90,1M N WALLISVILLE RD, 1.5 W MILLER RD"|"HOUSTON"|"1383886"|"TX"|"74101"|29.830556|-95.151389|""
"TX0084352"|"110039198123"|"EXPLORERE PIPELINE CO"|"301 JEFFERSON RD"|"PASADENA"|"1343631"|"TX"|"74101"|29.714167|-95.178333|""
"TX0084395"|"110009776689"|"CITY OF COVINGTON WWTP"|"800' S & 250' W INTX WEIR AVE AND ST HWY 171"|"COVINGTON"|"1333536"|"TX"|"76645"|32.173056|-97.258889|""
"TX0084409"|"110039168290"|"BAYER CORPORATION   -  HOUSTON"|"8701 PARK PLACE BOULEVARD"|"HOUSTON"|"1383886"|"TX"|"77017"|29.697222|-95.263056|""
"TX0084425"|"110009776698"|"BEECHNUT MUD WWTP"|"8401 HEMLOCK HILL DR"|"HOUSTON"|"1380948"|"TX"|"77041"|29.690556|-95.625278|""
"TX0084441"|"110039168316"|"UNKNOWN"|"UNKNOWN"|""|"1382208"|"TX"|""|31.408056|-94.728889|""
"TX0084450"|"110039168334"|"UNKNOWN"|"UNKNOWN"|""|"1348998"|"TX"|""|32.373889|-95.100556|""
"TX0084468"|"110009776705"|"WEST HARRIS CO. MUD 17 WWTP"|"5MI W-NW INTX STHWY 6/IH 10,N BANK OF S MAYDE CK"|"KATY"|"1380948"|"TX"|"77002"|29.807222|-95.726389|"4"
"TX0084484"|"110009776714"|"HARRIS CO MUD 122 WWTP"|"100 SUNSET LN, APPROX 1500' E OF INTX OF S GESSNER"|"MISSOURI CITY"|"1374972"|"TX"|"77489"|29.631389|-95.529444|""
"TX0084531"|"110010922387"|"BAYOU FOREST VILLAGE WWTP"|"12500 ALDINE-WESTFIELD RD"|"HOUSTON"|"1380948"|"TX"|"77279"|29.894444|-95.352778|""
"TX0084557"|"110020501232"|"CITY OF WICHITA FALLS"|"NORTHSIDE 6285 BURBURNETT RD"|"WICHITA FALLS"|"1350640"|"TX"|"76307"|33.995278|-98.516667|""
"TX0084581"|"110043799958"|"PASADENA PLANT"|"1423 STATE HWY 225"|"PASADENA"|"1343631"|"TX"|"77506"|29.719167|-95.188889|""
"TX0084638"|"110009776723"|"NEW CANEY MUD WWTP"|"0.4MI E AND 1.6MI S INTX CANEY CK"|"NEW CANEY"|"1342442"|"TX"|"77357"|30.136667|-95.204722|"4"
"TX0084646"|"110039168272"|"UNKNOWN"|"UNKNOWN"|""|"1383886"|"TX"|""|29.860833|-95.466667|""
"TX0084671"|"110009776732"|"MELROSE MHP WWTF"|"415 CARBY 2400FT E/NE OF AIRLINE DR"|"HOUSTON"|"1380948"|"TX"|"77073"|29.877222|-95.3825|""
"TX0084701"|"110039177789"|"UNKNOWN"|"UNKNOWN"|""|"1384025"|"TX"|""|27.613611|-99.39|""
"TX0084719"|"110009776741"|"CITY OF LYFORD WWTP"|"0.6M E & 0.6M S INTX SH 448 & FM 1921"|"LYFORD"|"1340749"|"TX"|"78569"|26.415278|-97.767222|""
"TX0084751"|"110039177805"|"UNKNOWN"|"UNKNOWN"|""|"1333238"|"TX"|""|30.278889|-95.319722|""
"TX0084760"|"110009776750"|"S.C. UTILITIES WWTP"|"22426 TOMBALL PKWY"|"SPRING"|"1347681"|"TX"|"77379"|30.010583|-95.588083|""
"TX0084778"|"110000463196"|"DOW HALTERMANN PLANT 2"|"1201 SOUTH SHELDON ROAD"|"CHANNELVIEW"|"1373053"|"TX"|"77530"|29.758056|-95.121111|""
"TX0084808"|"110000463677"|"METTON AMERICA LA PORTE PLANT"|"2727 MILLER CUT-OFF ROAD"|"LA PORTE"|"1339426"|"TX"|"77571"|29.723611|-95.077778|""
"TX0084816"|"110039199033"|"GUADALUPE CO WWTF"|"S IH 10, 621 AND 622 APPX 10M E"|"SAN ANTONIO"|"1346881"|"TX"|"782290928"|29.614722|-97.808056|""
"TX0084867"|"110009746917"|"JM HUBER LIMESTONE MINE"|"ADJ TO US HWY 281, 1.3MI S"|"MARBLE FALLS"|"1362162"|"TX"|"78654"|30.549167|-98.276111|""
"TX0084875"|"110010922403"|"HARRIS COUNTY MUD 203 WWTP"|"400' S INTX GEARS RD AND SPEARS RD"|"HOUSTON"|"1380948"|"TX"|"77207"|29.941389|-95.433333|"4"
"TX0084956"|"110041993581"|"P CHEM  WWTP"|"100 OLD LATEXO ROAD"|"LATEXO"|"1360972"|"TX"|"75849"|31.394167|-95.476667|""
"TX0084981"|"110009776778"|"UNIVERSITY ACRES WWTP"|"3500' S-SE INTERX OF FM 2818 AND FM 2154"|"BRYAN"|"1353099"|"TX"|"77802"|30.578056|-96.320556|""
"TX0085006"|"110039177841"|"HARRIS CO MUD 182"|"EAST GREENS BAYOU .5M S FMR 525"|"HOUSTON"|"1380948"|"TX"|"770025211"|29.922778|-95.344444|""
"TX0085316"|"110002041013"|"CITY OF LAREDO SOUTHSIDE WWTP"|"3.2MI S INTX US HWY 83 AND ST HWY 20"|"LAREDO"|"1339633"|"TX"|"78044"|27.445833|-99.490833|"4"
